"","MODEL","AICc","logLik","dev.expl","edf","Pvalue","R-squared","GCV","delta.GCV","p.ac","delta.AIC","diff.dev.expl","best.model"
"1","GAMM","1422.75108342575","-706.375541712875","0.340112453743932","1.0000001494435","0.00805453952397789","0.321782258842241",NA,NA,"0.663466896312317","-1.80602910404559e-08","3.44084412629009e-08","no"
"2","LMAC","1422.75108344381","-706.375541721905","0.340112419335491","35.9999999999964","0.00887081592353678","0.321782226294432",NA,NA,NA,NA,NA,"no"
"GCV.Cp","GAM","1415.135","-702.069348464438","0.614247942672469","2.89185536190831","0","0.581541996125498","810961089403750","-433706848474031",NA,"-15.729","0.273802227502941","yes"
"GCV.Cp1","Linear","1430.864","-712.260368134582","0.340445715169528","36.0000000000017","0.000120589539200498","0.322124762813158","1244667937877781",NA,NA,NA,NA,"no"
