"","MODEL","AICc","logLik","dev.expl","edf","Pvalue","R-squared","GCV","delta.GCV","p.ac","delta.AIC","diff.dev.expl","best.model"
"1","GAMM","264.032782562218","-127.016391281109","0.310078072808149","2.0081536366013","3.03886889562177e-05","0.301715426293166",NA,NA,"7.52042872420589e-12","-1.94578965711946","0.0956818434322276","no"
"2","LMAC","265.978572219337","-127.989286109669","0.214396229375921","165","0.000406650920910588","0.209990120729125",NA,NA,NA,NA,NA,"yes"
"GCV.Cp","GAM","307.644","-149.759361902278","0.317364347680226","1.93935361489259","0","0.309294941950388","0.364643010172413","-0.0500160302809844",NA,"-21.321","0.102548026925436","no"
"GCV.Cp1","Linear","328.965","-161.445722256221","0.214816320754789","165","2.8352797733038e-10","0.210057631789668","0.414659040453398",NA,NA,NA,NA,"no"
